ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000002526	protein_coding	PARP1
ENSMFAG00000002534	protein_coding	
ENSMFAG00000002568	protein_coding	FCRL4
ENSMFAG00000002641	protein_coding	SRP9
ENSMFAG00000002653	protein_coding	CAMK1G
ENSMFAG00000002712	protein_coding	C4BPB
ENSMFAG00000002911	protein_coding	
ENSMFAG00000002918	protein_coding	IL10
ENSMFAG00000002953	protein_coding	
ENSMFAG00000003017	protein_coding	CDK18
ENSMFAG00000003062	protein_coding	LYPLAL1
ENSMFAG00000003091	protein_coding	CAPN2
ENSMFAG00000003126	protein_coding	PIK3C2B
ENSMFAG00000003164	protein_coding	NVL
ENSMFAG00000003195	protein_coding	
ENSMFAG00000003249	protein_coding	PLXNA2
ENSMFAG00000003273	protein_coding	VSIG8
ENSMFAG00000003295	protein_coding	OR10J1
ENSMFAG00000003392	protein_coding	NCSTN
ENSMFAG00000003524	protein_coding	MRPL55
ENSMFAG00000003567	protein_coding	TNNT2
ENSMFAG00000003587	protein_coding	CHI3L1
ENSMFAG00000003596	protein_coding	PKP1
ENSMFAG00000003599	protein_coding	CR1
ENSMFAG00000003700	protein_coding	CNIH4
ENSMFAG00000003726	protein_coding	PPP1R12B
ENSMFAG00000003760	protein_coding	HHAT
ENSMFAG00000003779	protein_coding	
ENSMFAG00000003807	protein_coding	TP53BP2
ENSMFAG00000003810	protein_coding	TRAF3IP3
ENSMFAG00000003828	protein_coding	CD46
ENSMFAG00000003924	protein_coding	
ENSMFAG00000003970	protein_coding	BPNT1
ENSMFAG00000003992	protein_coding	
ENSMFAG00000003994	protein_coding	NOS1AP
ENSMFAG00000003997	protein_coding	ZC3H11A
ENSMFAG00000004382	snoRNA	RF00420
ENSMFAG00000004384	protein_coding	NHLH1
ENSMFAG00000004614	rRNA	RF00001
ENSMFAG00000004655	protein_coding	C4BPA
ENSMFAG00000004706	protein_coding	ESRRG
ENSMFAG00000004909	rRNA	RF00001
ENSMFAG00000004926	rRNA	RF00001
ENSMFAG00000004944	rRNA	RF00001
ENSMFAG00000005126	protein_coding	
ENSMFAG00000005215	protein_coding	SLAMF7
ENSMFAG00000005238	misc_RNA	RF00019
ENSMFAG00000005426	snRNA	RF00026
ENSMFAG00000005633	rRNA	RF00001
ENSMFAG00000005649	rRNA	RF00001
ENSMFAG00000005668	rRNA	RF00001
ENSMFAG00000006003	protein_coding	CD34
ENSMFAG00000006141	snRNA	RF00026
ENSMFAG00000006551	protein_coding	
ENSMFAG00000006573	snoRNA	RF00340
ENSMFAG00000006625	miRNA	MIR194-1
ENSMFAG00000006695	miRNA	MIR205
ENSMFAG00000006818	snRNA	RF00026
ENSMFAG00000006998	snRNA	RF00015
ENSMFAG00000007064	miRNA	
ENSMFAG00000007066	miRNA	
ENSMFAG00000007141	protein_coding	ADIPOR1
ENSMFAG00000007284	protein_coding	
ENSMFAG00000007354	protein_coding	
ENSMFAG00000007359	miRNA	
ENSMFAG00000007405	protein_coding	
ENSMFAG00000008070	snRNA	RF00015
ENSMFAG00000008092	snRNA	RF00026
ENSMFAG00000008155	snoRNA	RF00156
ENSMFAG00000008386	protein_coding	
ENSMFAG00000008620	miRNA	
ENSMFAG00000008738	miRNA	
